Scores & Fixtures 2021-2022 Süper Lig,,,,,,
,,,,,,
Wk,Day,Date,Home,Score,Away,Referee
1,Fri,2021-08-13,Beşiktaş,3–0,Rizespor,Zorbay Küçük
1,Sat,2021-08-14,Fatih Karagümrük,3–2,Gaziantep FK,Cüneyt Çakιr
1,Sat,2021-08-14,Altay,3–0,Kayserispor,Suat Arslanboga
1,Sat,2021-08-14,Hatayspor,1–1,Kasımpaşa,Arda Kardeşler
1,Sun,2021-08-15,Başakşehir,0–1,Alanyaspor,Yaşar Kemal Uğurlu
1,Sun,2021-08-15,Adana Demirspor,0–1,Fenerbahçe,Ali Şansalan
1,Sun,2021-08-15,Antalyaspor,1–1,Göztepe,Yasin Kol
1,Mon,2021-08-16,Yeni Mal'spor,1–5,Trabzonspor,Atilla Karaoğlan
1,Mon,2021-08-16,Sivasspor,0–1,Konyaspor,Fırat Aydınus
1,Mon,2021-08-16,Giresunspor,0–2,Galatasaray,Erkan Özdamar
,,,,,,
2,Fri,2021-08-20,Kayserispor,1–1,Adana Demirspor,Tugay Kaan Numanoğlu
2,Sat,2021-08-21,Rizespor,0–0,Fatih Karagümrük,Volkan Bayarslan
2,Sat,2021-08-21,Kasımpaşa,2–0,Giresunspor,Ali Palabıyık
2,Sat,2021-08-21,Gaziantep FK,0–0,Beşiktaş,Umit Öztürk
2,Sat,2021-08-21,Alanyaspor,1–4,Altay,Mete Kalkavan
2,Sun,2021-08-22,Konyaspor,2–1,Başakşehir,Halis Özkahya
2,Sun,2021-08-22,Fenerbahçe,2–0,Antalyaspor,Halil Umut Meler
2,Sun,2021-08-22,Göztepe,0–1,Yeni Mal'spor,Bahattin Şimşek
2,Mon,2021-08-23,Trabzonspor,2–1,Sivasspor,Abdulkadir Bitigen
2,Mon,2021-08-23,Galatasaray,2–1,Hatayspor,Hüseyin Göçek
,,,,,,
3,Fri,2021-08-27,Antalyaspor,3–2,Rizespor,Özgür Yankaya
3,Fri,2021-08-27,Adana Demirspor,1–1,Konyaspor,Alper Ulusoy
3,Sat,2021-08-28,Yeni Mal'spor,2–0,Gaziantep FK,Sarper Barış Saka
3,Sat,2021-08-28,Başakşehir,0–1,Kayserispor,Mustafa Öğretmenoğlu
3,Sat,2021-08-28,Hatayspor,5–0,Alanyaspor,Mert Güzenge
3,Sat,2021-08-28,Beşiktaş,1–0,Fatih Karagümrük,Cüneyt Çakιr
3,Sun,2021-08-29,Kasımpaşa,2–2,Galatasaray,Fırat Aydınus
3,Sun,2021-08-29,Sivasspor,2–2,Göztepe,Burak Şeker
3,Sun,2021-08-29,Giresunspor,0–1,Trabzonspor,Ali Şansalan
3,Sun,2021-08-29,Altay,0–2,Fenerbahçe,Yaşar Kemal Uğurlu
,,,,,,
4,Sat,2021-09-11,Fatih Karagümrük,4–0,Adana Demirspor,Umit Öztürk
4,Sat,2021-09-11,Konyaspor,3–1,Altay,Erkan Özdamar
Wk,Day,Date,Home,Score,Away,Referee
4,Sat,2021-09-11,Beşiktaş,3–0,Yeni Mal'spor,Arda Kardeşler
4,Sat,2021-09-11,Kayserispor,2–0,Kasımpaşa,Yasin Kol
4,Sun,2021-09-12,Fenerbahçe,1–1,Sivasspor,Halis Özkahya
4,Sun,2021-09-12,Rizespor,0–2,Hatayspor,Halil Umut Meler
4,Sun,2021-09-12,Trabzonspor,2–2,Galatasaray,Ali Palabıyık
4,Sun,2021-09-12,Göztepe,2–1,Başakşehir,Tugay Kaan Numanoğlu
4,Mon,2021-09-13,Gaziantep FK,2–0,Antalyaspor,Suat Arslanboga
4,Mon,2021-09-13,Alanyaspor,1–0,Giresunspor,Zorbay Küçük
,,,,,,
5,Fri,2021-09-17,Altay,2–1,Göztepe,Halil Umut Meler
5,Fri,2021-09-17,Yeni Mal'spor,3–4,Fatih Karagümrük,Hüseyin Göçek
5,Sat,2021-09-18,Sivasspor,1–1,Gaziantep FK,Atilla Karaoğlan
5,Sat,2021-09-18,Kasımpaşa,0–1,Trabzonspor,Mete Kalkavan
5,Sat,2021-09-18,Adana Demirspor,3–1,Rizespor,Cüneyt Çakιr
5,Sat,2021-09-18,Antalyaspor,2–3,Beşiktaş,Ali Şansalan
5,Sun,2021-09-19,Giresunspor,0–0,Konyaspor,Volkan Bayarslan
5,Sun,2021-09-19,Galatasaray,0–1,Alanyaspor,Abdulkadir Bitigen
5,Sun,2021-09-19,Başakşehir,2–0,Fenerbahçe,Fırat Aydınus
5,Sun,2021-09-19,Hatayspor,2–1,Kayserispor,Alper Ulusoy
,,,,,,
6,Tue,2021-09-21,Rizespor,1–2,Altay,Umit Öztürk
6,Tue,2021-09-21,Fatih Karagümrük,0–0,Antalyaspor,Arda Kardeşler
6,Tue,2021-09-21,Beşiktaş,3–3,Adana Demirspor,Ali Palabıyık
6,Tue,2021-09-21,Yeni Mal'spor,0–1,Sivasspor,Erkan Özdamar
6,Wed,2021-09-22,Gaziantep FK,1–0,Başakşehir,Mete Kalkavan
6,Wed,2021-09-22,Kayserispor,3–0,Galatasaray,Yaşar Kemal Uğurlu
6,Wed,2021-09-22,Göztepe,0–2,Hatayspor,Suat Arslanboga
6,Thu,2021-09-23,Konyaspor,2–2,Trabzonspor,Halil Umut Meler
6,Thu,2021-09-23,Alanyaspor,2–0,Kasımpaşa,Bahattin Şimşek
6,Thu,2021-09-23,Fenerbahçe,2–1,Giresunspor,Cüneyt Çakιr
,,,,,,
7,Fri,2021-09-24,Altay,2–1,Beşiktaş,Fırat Aydınus
7,Sat,2021-09-25,Sivasspor,4–0,Fatih Karagümrük,Alper Ulusoy
7,Sat,2021-09-25,Antalyaspor,1–0,Yeni Mal'spor,Mert Güzenge
7,Sat,2021-09-25,Adana Demirspor,4–0,Gaziantep FK,Sarper Barış Saka
Wk,Day,Date,Home,Score,Away,Referee
7,Sun,2021-09-26,Giresunspor,1–1,Kayserispor,Atilla Karaoğlan
7,Sun,2021-09-26,Başakşehir,3–0,Rizespor,Arda Kardeşler
7,Sun,2021-09-26,Hatayspor,1–2,Fenerbahçe,Abdulkadir Bitigen
7,Sun,2021-09-26,Galatasaray,2–1,Göztepe,Ali Şansalan
7,Mon,2021-09-27,Kasımpaşa,2–2,Konyaspor,Tugay Kaan Numanoğlu
7,Mon,2021-09-27,Trabzonspor,1–1,Alanyaspor,Halis Özkahya
,,,,,,
8,Fri,2021-10-01,Fatih Karagümrük,3–1,Başakşehir,Erkan Özdamar
8,Fri,2021-10-01,Antalyaspor,1–2,Adana Demirspor,Volkan Bayarslan
8,Sat,2021-10-02,Konyaspor,1–1,Alanyaspor,Mert Güzenge
8,Sat,2021-10-02,Göztepe,0–1,Giresunspor,Burak Şeker
8,Sat,2021-10-02,Kayserispor,1–2,Trabzonspor,Tugay Kaan Numanoğlu
8,Sat,2021-10-02,Beşiktaş,2–1,Sivasspor,Yaşar Kemal Uğurlu
8,Sun,2021-10-03,Yeni Mal'spor,0–2,Hatayspor,Halil Umut Meler
8,Sun,2021-10-03,Gaziantep FK,4–1,Altay,Bahattin Şimşek
8,Sun,2021-10-03,Fenerbahçe,2–1,Kasımpaşa,Atilla Karaoğlan
8,Sun,2021-10-03,Rizespor,2–3,Galatasaray,Ali Palabıyık
,,,,,,
9,Fri,2021-10-15,Başakşehir,3–2,Beşiktaş,Atilla Karaoğlan
9,Sat,2021-10-16,Giresunspor,2–0,Rizespor,Erkan Özdamar
9,Sat,2021-10-16,Sivasspor,2–2,Antalyaspor,Mete Kalkavan
9,Sat,2021-10-16,Adana Demirspor,0–2,Yeni Mal'spor,Fırat Aydınus
9,Sun,2021-10-17,Kasımpaşa,1–2,Göztepe,Cüneyt Çakιr
9,Sun,2021-10-17,Galatasaray,1–0,Konyaspor,Arda Kardeşler
9,Sun,2021-10-17,Altay,0–1,Fatih Karagümrük,Suat Arslanboga
9,Sun,2021-10-17,Trabzonspor,3–1,Fenerbahçe,Ali Şansalan
9,Mon,2021-10-18,Alanyaspor,6–3,Kayserispor,Umit Öztürk
9,Mon,2021-10-18,Hatayspor,2–1,Gaziantep FK,Zorbay Küçük
,,,,,,
10,Fri,2021-10-22,Yeni Mal'spor,2–1,Altay,Yasin Kol
10,Sat,2021-10-23,Rizespor,2–1,Kasımpaşa,Hüseyin Göçek
10,Sat,2021-10-23,Gaziantep FK,1–1,Giresunspor,Tugay Kaan Numanoğlu
10,Sat,2021-10-23,Konyaspor,2–0,Kayserispor,Sarper Barış Saka
10,Sat,2021-10-23,Göztepe,0–1,Trabzonspor,Atilla Karaoğlan
10,Sun,2021-10-24,Fatih Karagümrük,1–1,Hatayspor,Halis Özkahya
Wk,Day,Date,Home,Score,Away,Referee
10,Sun,2021-10-24,Antalyaspor,1–2,Başakşehir,Yaşar Kemal Uğurlu
10,Sun,2021-10-24,Sivasspor,1–1,Adana Demirspor,Bahattin Şimşek
10,Sun,2021-10-24,Fenerbahçe,1–2,Alanyaspor,Halil Umut Meler
10,Mon,2021-10-25,Beşiktaş,2–1,Galatasaray,Fırat Aydınus
,,,,,,
11,Fri,2021-10-29,Trabzonspor,2–1,Rizespor,Halil Umut Meler
11,Sat,2021-10-30,Kasımpaşa,2–0,Yeni Mal'spor,Alper Ulusoy
11,Sat,2021-10-30,Hatayspor,1–0,Beşiktaş,Cüneyt Çakιr
11,Sat,2021-10-30,Altay,1–1,Sivasspor,Erkan Özdamar
11,Sat,2021-10-30,Konyaspor,2–1,Fenerbahçe,Fırat Aydınus
11,Sun,2021-10-31,Kayserispor,2–1,Fatih Karagümrük,Burak Şeker
11,Sun,2021-10-31,Alanyaspor,2–2,Göztepe,Mete Kalkavan
11,Sun,2021-10-31,Galatasaray,2–0,Gaziantep FK,Yaşar Kemal Uğurlu
11,Mon,2021-11-01,Giresunspor,1–2,Antalyaspor,Suat Arslanboga
11,Mon,2021-11-01,Başakşehir,2–1,Adana Demirspor,Arda Kardeşler
,,,,,,
12,Fri,2021-11-05,Gaziantep FK,2–0,Kasımpaşa,Halis Özkahya
12,Fri,2021-11-05,Rizespor,2–0,Alanyaspor,Fırat Aydınus
12,Sat,2021-11-06,Sivasspor,0–0,Giresunspor,Umit Öztürk
12,Sat,2021-11-06,Yeni Mal'spor,1–3,Başakşehir,Zorbay Küçük
12,Sat,2021-11-06,Antalyaspor,1–0,Altay,Mert Güzenge
12,Sat,2021-11-06,Beşiktaş,1–2,Trabzonspor,Erkan Özdamar
12,Sun,2021-11-07,Göztepe,0–2,Konyaspor,Yasin Kol
12,Sun,2021-11-07,Adana Demirspor,1–0,Hatayspor,Yaşar Kemal Uğurlu
12,Sun,2021-11-07,Fatih Karagümrük,1–1,Galatasaray,Atilla Karaoğlan
12,Sun,2021-11-07,Fenerbahçe,2–2,Kayserispor,Cüneyt Çakιr
,,,,,,
13,Sat,2021-11-20,Hatayspor,3–1,Antalyaspor,Tugay Kaan Numanoğlu
13,Sat,2021-11-20,Giresunspor,1–0,Yeni Mal'spor,Cüneyt Çakιr
13,Sat,2021-11-20,Başakşehir,2–1,Sivasspor,Mete Kalkavan
13,Sat,2021-11-20,Alanyaspor,2–0,Beşiktaş,Alper Ulusoy
13,Sun,2021-11-21,Kasımpaşa,1–3,Fatih Karagümrük,Fırat Aydınus
13,Sun,2021-11-21,Konyaspor,3–0,Rizespor,Atilla Karaoğlan
