Wk,Date,Time,Home,Score,Away,Referee
1,2023-08-11,21:00,Trabzonspor,1–0,Antalyaspor,Zorbay Küçük
1,2023-08-12,19:15,Kasımpaşa,3–2,Ankaragücü,Bahattin Şimşek
1,2023-08-12,19:15,Konyaspor,1–1,İstanbulspor,Burak Pakkan
1,2023-08-12,21:45,Kayserispor,0–0,Galatasaray,Halil Umut Meler
1,2023-08-12,21:45,Pendikspor,1–5,Hatayspor,Çağdaş Altay
1,2023-08-13,19:15,Sivasspor,1–1,Samsunspor,Murat Erdoğan
1,2023-08-13,21:45,Fenerbahçe,2–1,Gaziantep FK,Abdulkadir Bitigen
1,2023-08-13,21:45,Adana Demirspor,2–1,Rizespor,Umit Öztürk
1,2023-08-14,21:00,Fatih Karagümrük,0–1,Beşiktaş,Erkan Özdamar
1,2023-08-14,21:00,Alanyaspor,2–0,Başakşehir,Tugay Kaan Numanoğlu
,,,,,,
2,2023-08-18,21:00,İstanbulspor,1–1,Kayserispor,Sarper Barış Saka
2,2023-08-18,21:00,Antalyaspor,1–1,Konyaspor,Ali Şansalan
2,2023-08-19,19:15,Rizespor,0–0,Alanyaspor,Yiğit Arslan
2,2023-08-19,21:45,Galatasaray,2–0,Trabzonspor,Atilla Karaoğlan
2,2023-08-19,21:45,Hatayspor,0–0,Kasımpaşa,Mert Güzenge
2,2023-08-20,19:15,Başakşehir,0–2,Fatih Karagümrük,Burak Şeker
2,2023-08-20,21:45,Gaziantep FK,1–3,Sivasspor,Arda Kardeşler
2,2023-08-20,21:45,Beşiktaş,1–1,Pendikspor,Kadir Sağlam
2,2023-08-21,21:00,Samsunspor,0–2,Fenerbahçe,Volkan Bayarslan
2,2023-08-21,21:00,Ankaragücü,1–1,Adana Demirspor,Cihan Aydın
,,,,,,
3,2023-08-25,21:00,Konyaspor,2–0,Gaziantep FK,Mete Kalkavan
3,2023-08-26,19:15,Kasımpaşa,1–1,Pendikspor,Yaşar Kemal Uğurlu
3,2023-08-26,19:15,Trabzonspor,2–3,Rizespor,Halil Umut Meler
3,2023-08-26,21:45,Sivasspor,1–1,Antalyaspor,Umit Öztürk
3,2023-08-27,19:15,Fatih Karagümrük,1–1,Ankaragücü,Turgut Doman
3,2023-08-27,19:15,Kayserispor,2–1,Samsunspor,Bahattin Şimşek
3,2023-08-27,21:45,Alanyaspor,0–0,Hatayspor,Direnç Tonusluoğlu
,,,,,,
4,2023-09-01,21:00,Kasımpaşa,1–5,Trabzonspor,Erkan Özdamar
4,2023-09-01,21:00,Rizespor,1–0,Fatih Karagümrük,Murat Erdoğan
4,2023-09-02,19:15,Pendikspor,1–1,Alanyaspor,Abdulkadir Bitigen
4,2023-09-02,19:15,Başakşehir,0–1,Konyaspor,Atilla Karaoğlan
4,2023-09-02,21:45,Antalyaspor,1–1,Kayserispor,Yasin Kol
Wk,Date,Time,Home,Score,Away,Referee
4,2023-09-02,21:45,Gaziantep FK,0–3,Galatasaray,Ali Şansalan
4,2023-09-03,19:15,Beşiktaş,2–0,Sivasspor,Zorbay Küçük
4,2023-09-03,21:45,Hatayspor,3–3,Adana Demirspor,Sarper Barış Saka
4,2023-09-03,21:45,Ankaragücü,0–1,Fenerbahçe,Arda Kardeşler
,,,,,,
5,2023-09-16,17:00,Konyaspor,1–2,Rizespor,Bahattin Şimşek
5,2023-09-16,17:00,Kayserispor,2–0,Gaziantep FK,Umit Öztürk
5,2023-09-16,20:00,Galatasaray,4–2,Samsunspor,Cihan Aydın
5,2023-09-16,20:00,Adana Demirspor,3–0,Pendikspor,Mert Güzenge
5,2023-09-17,17:00,İstanbulspor,0–2,Başakşehir,Direnç Tonusluoğlu
5,2023-09-17,17:00,Fenerbahçe,3–2,Antalyaspor,Halil Umut Meler
5,2023-09-17,20:00,Trabzonspor,3–0,Beşiktaş,Volkan Bayarslan
5,2023-09-17,20:00,Alanyaspor,3–3,Kasımpaşa,Turgut Doman
5,2023-09-18,20:00,Fatih Karagümrük,0–0,Hatayspor,Yaşar Kemal Uğurlu
5,2023-09-18,20:00,Sivasspor,1–3,Ankaragücü,Çağdaş Altay
,,,,,,
6,2023-09-22,20:00,Gaziantep FK,2–0,İstanbulspor,Murat Erdoğan
6,2023-09-23,17:00,Rizespor,1–1,Sivasspor,Burak Pakkan
6,2023-09-23,17:00,Pendikspor,1–1,Fatih Karagümrük,Tugay Kaan Numanoğlu
6,2023-09-23,20:00,Başakşehir,1–2,Galatasaray,Kadir Sağlam
6,2023-09-23,20:00,Antalyaspor,2–0,Samsunspor,Arda Kardeşler
6,2023-09-24,17:00,Ankaragücü,1–1,Konyaspor,Erkan Özdamar
6,2023-09-24,17:00,Beşiktaş,2–1,Kayserispor,Ali Şansalan
6,2023-09-24,20:00,Alanyaspor,0–1,Fenerbahçe,Atilla Karaoğlan
6,2023-09-24,20:00,Kasımpaşa,2–1,Adana Demirspor,Yasin Kol
6,2023-09-25,20:00,Hatayspor,3–2,Trabzonspor,Burak Şeker
,,,,,,
3,2023-09-26,20:00,İstanbulspor,0–1,Galatasaray,Abdulkadir Bitigen
3,2023-09-27,20:00,Adana Demirspor,4–2,Beşiktaş,Umit Öztürk
3,2023-09-28,20:00,Fenerbahçe,4–0,Başakşehir,Zorbay Küçük
,,,,,,
7,2023-09-29,20:00,Samsunspor,1–2,Gaziantep FK,Burak Pakkan
7,2023-09-30,13:30,Sivasspor,0–0,Hatayspor,Murat Erdoğan
7,2023-09-30,16:00,İstanbulspor,1–2,Antalyaspor,Çağdaş Altay
7,2023-09-30,16:00,Trabzonspor,2–1,Pendikspor,Bahattin Şimşek
Wk,Date,Time,Home,Score,Away,Referee
7,2023-09-30,19:00,Galatasaray,2–1,Ankaragücü,Volkan Bayarslan
