Wk,Date,Home,Score,Away,Referee
1,2025-08-08,Gaziantep FK,0–3,Galatasaray,Ali Şansalan
1,2025-08-09,Samsunspor,2–1,Gençlerbirliği,Ali Yılmaz
1,2025-08-09,Antalyaspor,2–1,Kasımpaşa,Alper Akarsu
1,2025-08-10,Rizespor,0–3,Göztepe,Mehmet Türkmen
1,2025-08-10,Eyüpspor,1–4,Konyaspor,Batuhan Kolak
1,2025-08-11,Trabzonspor,1–0,Kocaelispor,Çağdaş Altay
,,,,,
2,2025-08-15,Galatasaray,3–0,Fatih Karagümrük,Ozan Ergün
2,2025-08-16,Kocaelispor,0–1,Samsunspor,Zorbay Küçük
2,2025-08-16,Göztepe,0–0,Fenerbahçe,Yasin Kol
2,2025-08-16,Alanyaspor,0–0,Rizespor,Atilla Karaoğlan
2,2025-08-17,Konyaspor,3–0,Gaziantep FK,Adnan Deniz Kayatepe
2,2025-08-17,Gençlerbirliği,0–1,Antalyaspor,Oğuzhan Aksu
2,2025-08-17,Başakşehir,1–1,Kayserispor,Kadir Sağlam
2,2025-08-17,Beşiktaş,2–1,Eyüpspor,Halil Umut Meler
2,2025-08-18,Kasımpaşa,0–1,Trabzonspor,Cihan Aydın
,,,,,
3,2025-08-22,Fatih Karagümrük,0–2,Göztepe,Batuhan Kolak
3,2025-08-23,Fenerbahçe,3–1,Kocaelispor,Mehmet Türkmen
3,2025-08-23,Gaziantep FK,2–1,Gençlerbirliği,Atilla Karaoğlan
3,2025-08-24,Trabzonspor,1–0,Antalyaspor,Ali Yılmaz
3,2025-08-24,Kayserispor,0–4,Galatasaray,Alper Akarsu
3,2025-08-25,Eyüpspor,2–1,Alanyaspor,Arda Kardeşler
,,,,,
4,2025-08-29,Göztepe,1–1,Konyaspor,Ali Şansalan
4,2025-08-30,Kocaelispor,1–1,Kayserispor,Yasin Kol
4,2025-08-30,Kasımpaşa,2–3,Gaziantep FK,Ozan Ergün
4,2025-08-30,Antalyaspor,1–2,Fatih Karagümrük,Cihan Aydın
4,2025-08-30,Galatasaray,3–1,Rizespor,Ali Yılmaz
4,2025-08-31,Başakşehir,0–0,Eyüpspor,Zorbay Küçük
4,2025-08-31,Gençlerbirliği,1–3,Fenerbahçe,Çağdaş Altay
4,2025-08-31,Trabzonspor,1–1,Samsunspor,Adnan Deniz Kayatepe
4,2025-08-31,Alanyaspor,2–0,Beşiktaş,Kadir Sağlam
,,,,,
5,2025-09-13,Samsunspor,1–2,Antalyaspor,Arda Kardeşler
Wk,Date,Home,Score,Away,Referee
5,2025-09-13,Fatih Karagümrük,0–1,Kasımpaşa,Oğuzhan Aksu
5,2025-09-13,Eyüpspor,0–2,Galatasaray,Batuhan Kolak
5,2025-09-13,Konyaspor,1–2,Alanyaspor,Halil Umut Meler
5,2025-09-13,Beşiktaş,2–1,Başakşehir,Alper Akarsu
5,2025-09-14,Kayserispor,1–1,Göztepe,Atilla Karaoğlan
5,2025-09-14,Gaziantep FK,2–0,Kocaelispor,Yiğit Arslan
5,2025-09-14,Fenerbahçe,1–0,Trabzonspor,Ozan Ergün
5,2025-09-15,Rizespor,1–0,Gençlerbirliği,Zorbay Küçük
,,,,,
1,2025-09-17,Fatih Karagümrük,0–2,Başakşehir,Ali Yılmaz
1,2025-09-17,Fenerbahçe,2–2,Alanyaspor,Cihan Aydın
,,,,,
3,2025-09-17,Samsunspor,0–0,Kasımpaşa,Ali Şansalan
,,,,,
6,2025-09-19,Göztepe,3–0,Beşiktaş,Mehmet Türkmen
6,2025-09-20,Gençlerbirliği,1–0,Eyüpspor,Ömer Tolga Güldibi
6,2025-09-20,Trabzonspor,1–1,Gaziantep FK,Arda Kardeşler
6,2025-09-20,Antalyaspor,1–1,Kayserispor,Kadir Sağlam
6,2025-09-21,Kocaelispor,1–1,Rizespor,Umit Öztürk
6,2025-09-21,Başakşehir,1–1,Alanyaspor,Adnan Deniz Kayatepe
6,2025-09-21,Kasımpaşa,1–1,Fenerbahçe,Oğuzhan Çakir
